ID,Wait time,Country,City,Department,Minutes,Vote status,Came from,Chat content
4067,86328,,,Hot News,09:19:38,NONE,www.google.co.uk,"2017-07-07 09:19:38 Jeb: Why are bricks strong
2017-07-07 09:19:43 Live Support: welcome to Vision Group
2017-07-07 09:20:00 Jeb: Why are bricks so strong
2017-07-07 09:20:10 Jeb: I need to know for my physics project
2017-07-08 09:18:26 System assistant: Paul Ochen has accepted the chat!
2017-07-08 09:18:41 System assistant: Paul (pochen@newvision.co.ug) has closed the chat!"
4066,86289,Tanzania,,customer support,09:19:37,NONE,com.google.android.googlequicksearchbox,"2017-07-07 09:19:37 Fransisco chunji: Is the act of staying long in leadership,especially,presidential seat,a source of sustainable development,in a country! A case study is to a president of Gabon, who has been ruling since, 1980's to date, welcome, Im a social activist, from Bagamoyo Tanzania.I present,!
2017-07-07 09:19:42 Live Support: welcome to Vision Group
2017-07-07 09:20:39 Fransisco chunji: Thanks,still waiting your support!
2017-07-07 09:22:16 Fransisco chunji: My vision is tobe a political leader that is why I'm in need to know!
2017-07-08 09:17:46 System assistant: Paul Ochen has accepted the chat!
2017-07-08 09:18:19 System assistant: Paul (pochen@newvision.co.ug) has closed the chat!"
4065,37,Bahrain,,Hot News,09:03:00,NONE,www.google.com.bh,"2017-07-07 09:03:00 ssekawuka fredrick: helo
2017-07-07 09:03:05 Live Support: welcome to Vision Group
2017-07-07 09:03:37 System assistant: joseph banyu has accepted the chat!
2017-07-07 09:04:58 joseph banyu: hello Fredrick, how can we help you
2017-07-10 01:31:19 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4064,511,United Kingdom,,customer support,08:44:25,NONE,www.bing.com,"2017-07-07 08:44:25 Olatomiwa: Enquiry
2017-07-07 08:44:30 Live Support: welcome to Vision Group
2017-07-07 08:52:56 System assistant: joseph banyu has accepted the chat!
2017-07-07 08:53:21 joseph banyu: How can we help you?
2017-07-10 01:31:30 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4063,210,Japan,,customer support,07:27:34,UP,www.google.com,"2017-07-07 07:27:34 mujuni blessing: when was the public service dress code released
2017-07-07 07:27:39 Live Support: welcome to Vision Group
2017-07-07 07:29:37 mujuni blessing: when was the public service dress code released?
2017-07-07 07:31:04 System assistant: joseph banyu has accepted the chat!
2017-07-07 07:33:43 mujuni blessing: ??
2017-07-07 07:33:50 mujuni blessing: hello?
2017-07-07 07:48:21 joseph banyu: Hello Mujuni, Tuesday 4th july.
2017-07-10 01:31:32 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4062,81,Hong Kong,,Hot News,07:26:53,NONE,www.youtube.com,"2017-07-07 07:26:53 faith sylvia: why bukedde is not working cannot see live
2017-07-07 07:26:58 Live Support: welcome to Vision Group
2017-07-07 07:28:14 System assistant: joseph banyu has accepted the chat!
2017-07-07 07:30:10 joseph banyu: Hello Faith, what do you mean by &quot;cannot see live?
2017-07-07 07:34:48 faith sylvia: am on my internet but cannot watch bukedde
2017-07-07 07:36:12 faith sylvia: ugandan stay in hongkong
2017-07-07 07:36:40 System assistant: Visitor has closed the chat explicitly!
2017-07-07 07:55:10 joseph banyu: Visit our bukeddetv You tube channel , and click on the LIVE button.
2017-07-10 01:31:34 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4061,929,Uganda,,customer support,06:47:29,NONE,www.newvision.co.ug,"2017-07-07 06:47:29 Emmanuella: How do i get more information about tge jobs posted
2017-07-07 06:47:34 Live Support: welcome to Vision Group
2017-07-07 07:02:58 System assistant: joseph banyu has accepted the chat!
2017-07-07 07:05:56 joseph banyu: Hello Emmanuella, 'we would advice you to directly contact the respective company or organisation.
2017-07-10 01:31:36 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4060,55,Uganda,,customer support,06:06:27,NONE,www.google.com,"2017-07-07 06:06:28 Fiona: How do i access New vision papers.
2017-07-07 06:06:33 Live Support: welcome to Vision Group
2017-07-07 06:07:22 System assistant: joseph banyu has accepted the chat!
2017-07-07 06:07:27 Fiona: Alright then. let me wait for him or her.
2017-07-07 06:07:39 joseph banyu: Do you mean our E paper?
2017-07-07 06:08:17 Fiona: Yes
2017-07-07 06:08:35 joseph banyu: You can Get a copy of our E paper, for mobile App access: http://www.visiongroup.co.ug/mobile/app/ 
OR 
for desktop access:https://vizuri.visiongroup.co.ug. Sign Up to get an Account and follow the prompts.
2017-07-07 06:09:39 Fiona: Okay then...Thanks for help.
2017-07-07 06:56:42 joseph banyu: thank you for your time.
2017-07-07 06:56:48 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4059,97,South Africa,,customer support,05:30:44,NONE,www.bukedde.co.ug,"2017-07-07 05:30:44 mubiru: Omuntu azalibwa nengalo omukaga nokusingawo kiba kitegezaki
2017-07-07 05:30:49 Live Support: welcome to Vision Group
2017-07-07 05:32:02 mubiru: Omuntu azalibwa nengalo omukaga kitegezaaki
2017-07-07 05:32:21 System assistant: joseph banyu has accepted the chat!
2017-07-10 01:31:38 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
4058,179,Uganda,,Advertising,05:02:44,NONE,,"2017-07-07 05:02:44 Stephen : Can I be notified of bids for security services 
For My security company
2017-07-07 05:02:49 Live Support: welcome to Vision Group
2017-07-07 05:05:43 System assistant: joseph banyu has accepted the chat!
2017-07-07 05:05:52 System assistant: JosephBanyu (JBanyu@newvision.co.ug) has closed the chat!"
